source,target,relation,label,type
dress,Micro,dropped,NO CHANGE,Explicit
dress,fit,gives,NO CHANGE,Explicit
dress,fit,gives,NO CHANGE,Explicit
dress,fit,gives,NO CHANGE,Explicit
dress,fit,gives,NO CHANGE,Explicit
dress,fit,gives,NO CHANGE,Explicit
dress,fit,gives,NO CHANGE,Explicit
dress,dress,makes,NO CHANGE,Explicit
dress,dress,makes,NO CHANGE,Explicit
dress,dress,makes,NO CHANGE,Explicit
dress,dress,makes,NO CHANGE,Explicit
dress,dress,makes,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,summer,has,NO CHANGE,Explicit
dress,Set,features,NO CHANGE,Explicit
dress,Set,features,NO CHANGE,Explicit
dress,Set,features,NO CHANGE,Explicit
dress,stripe,sleeve,NO CHANGE,Explicit
dress,stripe,sleeve,NO CHANGE,Explicit
dress,cut,makes,NO CHANGE,Explicit
dress,detales,has,NO CHANGE,Explicit
dress,detales,has,NO CHANGE,Explicit
dress,vegan,dyed,NO CHANGE,Explicit
dress,vegan,dyed,NO CHANGE,Explicit
dress,vegan,dyed,NO CHANGE,Explicit
dress,vegan,dyed,NO CHANGE,Explicit
dress,vegan,dyed,NO CHANGE,Explicit
dress,vegan,dyed,NO CHANGE,Explicit
dress,Enjoy,wear,NO CHANGE,Explicit
dress,Enjoy,wear,NO CHANGE,Explicit
dress,Enjoy,wear,NO CHANGE,Explicit
dress,Enjoy,wear,NO CHANGE,Explicit
dress,Enjoy,wear,NO CHANGE,Explicit
dress,pattern,features,NO CHANGE,Explicit
dress,pattern,features,NO CHANGE,Explicit
dress,pattern,features,NO CHANGE,Explicit
dress,pattern,features,NO CHANGE,Explicit
dress,parts,features,NO CHANGE,Explicit
dress,line,features,NO CHANGE,Explicit
dress,line,features,NO CHANGE,Explicit
dress,line,features,NO CHANGE,Explicit
dress,sweetheart,features,NO CHANGE,Explicit
dress,slip,allow,NO CHANGE,Explicit
dress,slip,allow,NO CHANGE,Explicit
dress,wool,fitted,NO CHANGE,Explicit
dress,wool,fitted,NO CHANGE,Explicit
dress,occasions,Rent,NO CHANGE,Explicit
dress,occasions,Rent,NO CHANGE,Explicit
dress,occasions,Rent,NO CHANGE,Explicit
dress,occasions,Rent,NO CHANGE,Explicit
dress,leather,wear,NO CHANGE,Explicit
dress,Aurora,has,NO CHANGE,Explicit
dress,Aurora,has,NO CHANGE,Explicit
dress,Aurora,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,midi,has,NO CHANGE,Explicit
dress,silhoette,gives,NO CHANGE,Explicit
dress,silhoette,gives,NO CHANGE,Explicit
dress,body,features,NO CHANGE,Explicit
dress,body,features,NO CHANGE,Explicit
dress,touch,features,NO CHANGE,Explicit
dress,beauty,has,NO CHANGE,Explicit
dress,Hadiya,features,NO CHANGE,Explicit
dress,print,featuring,NO CHANGE,Explicit
dress,print,featuring,NO CHANGE,Explicit
dress,print,featuring,NO CHANGE,Explicit
dress,Holzweiler,comes,NO CHANGE,Explicit
dress,details,contour,NO CHANGE,Explicit
dress,details,contour,NO CHANGE,Explicit
dress,details,contour,NO CHANGE,Explicit
dress,details,contour,NO CHANGE,Explicit
dress,details,contour,NO CHANGE,Explicit
dress,details,contour,NO CHANGE,Explicit
dress,details,contour,NO CHANGE,Explicit
dress,iridescent,frame,NO CHANGE,Explicit
dress,knee,cut,NO CHANGE,Explicit
dress,shirt,dressed,NO CHANGE,Explicit
dress,shirt,dressed,NO CHANGE,Explicit
dress,shirt,dressed,NO CHANGE,Explicit
dress,shirt,dressed,NO CHANGE,Explicit
dress,star,allows,NO CHANGE,Explicit
dress,Button,flowing,NO CHANGE,Explicit
dress,features,tiered,NO CHANGE,Explicit
dress,features,tiered,NO CHANGE,Explicit
dress,timeless,has,NO CHANGE,Explicit
dress,timeless,has,NO CHANGE,Explicit
dress,waist,lined,NO CHANGE,Explicit
dress,waist,lined,NO CHANGE,Explicit
dress,fall,pleated,NO CHANGE,Explicit
dress,cotton,has,NO CHANGE,Explicit
dress,cotton,has,NO CHANGE,Explicit
dress,cotton,has,NO CHANGE,Explicit
dress,Aida,made,NO CHANGE,Explicit
dress,Aida,made,NO CHANGE,Explicit
dress,v,drapes,NO CHANGE,Explicit
dress,v,drapes,NO CHANGE,Explicit
dress,midnight,wins,NO CHANGE,Explicit
dress,zipper,features,NO CHANGE,Explicit
dress,zipper,features,NO CHANGE,Explicit
dress,eye,features,NO CHANGE,Explicit
dress,eye,features,NO CHANGE,Explicit
dress,eye,features,NO CHANGE,Explicit
dress,eye,features,NO CHANGE,Explicit
dress,cocktail,adds,NO CHANGE,Explicit
dress,ways,knit,NO CHANGE,Explicit
dress,ways,knit,NO CHANGE,Explicit
dress,ways,knit,NO CHANGE,Explicit
dress,ways,knit,NO CHANGE,Explicit
dress,ways,knit,NO CHANGE,Explicit
dress,Kada,shaped,NO CHANGE,Explicit
dress,peplum,knit,NO CHANGE,Explicit
dress,smocking,falls,NO CHANGE,Explicit
dress,smocking,falls,NO CHANGE,Explicit
dress,year,dress,NO CHANGE,Explicit
dress,Sanne,has,NO CHANGE,Explicit
dress,Urban,has,NO CHANGE,Explicit
dress,Urban,has,NO CHANGE,Explicit
dress,Urban,has,NO CHANGE,Explicit
dress,number,decide,NO CHANGE,Explicit
dress,silky,features,NO CHANGE,Explicit
dress,silky,features,NO CHANGE,Explicit
dress,sparkles,built,NO CHANGE,Explicit
dress,sparkles,built,NO CHANGE,Explicit
dress,sparkles,built,NO CHANGE,Explicit
dress,cobalt,Dress,NO CHANGE,Explicit
dress,dots,covered,NO CHANGE,Explicit
dress,dots,covered,NO CHANGE,Explicit
dress,dots,covered,NO CHANGE,Explicit
dress,dots,covered,NO CHANGE,Explicit
dress,dots,covered,NO CHANGE,Explicit
dress,party,going,NO CHANGE,Explicit
dress,party,going,NO CHANGE,Explicit
dress,party,going,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,length,provides,NO CHANGE,Explicit
dress,flower,Embellished,NO CHANGE,Explicit
dress,ROTATE,closes,NO CHANGE,Explicit
dress,sweater,has,NO CHANGE,Explicit
dress,sweater,has,NO CHANGE,Explicit
dress,sweater,has,NO CHANGE,Explicit
dress,Kaftan,Say,NO CHANGE,Explicit
dress,Kaftan,Say,NO CHANGE,Explicit
dress,Kaftan,Say,NO CHANGE,Explicit
dress,Kaftan,Say,NO CHANGE,Explicit
dress,A-,features,NO CHANGE,Explicit
dress,velvet,has,NO CHANGE,Explicit
dress,dream,cut,NO CHANGE,Explicit
dress,dream,cut,NO CHANGE,Explicit
dress,dream,cut,NO CHANGE,Explicit
dress,occasion,has,NO CHANGE,Explicit
dress,occasion,has,NO CHANGE,Explicit
dress,occasion,has,NO CHANGE,Explicit
dress,style,Look,NO CHANGE,Explicit
dress,style,Look,NO CHANGE,Explicit
dress,Dress,says,NO CHANGE,Explicit
dress,Dress,says,NO CHANGE,Explicit
dress,neck,goes,NO CHANGE,Explicit
dress,neck,goes,NO CHANGE,Explicit
dress,neck,goes,NO CHANGE,Explicit
dress,Alice,has,NO CHANGE,Explicit
dress,Alice,has,NO CHANGE,Explicit
dress,Vegan,dyed,NO CHANGE,Explicit
dress,Jealyn,gives,NO CHANGE,Explicit
dress,V,has,NO CHANGE,Explicit
dress,V,has,NO CHANGE,Explicit
dress,event,closes,NO CHANGE,Explicit
dress,event,closes,NO CHANGE,Explicit
dress,black,viscose,NO CHANGE,Explicit
dress,black,viscose,NO CHANGE,Explicit
dress,maxi,makes,NO CHANGE,Explicit
dress,Esilca,sleeved,NO CHANGE,Explicit
dress,crepe,has,NO CHANGE,Explicit
dress,crepe,has,NO CHANGE,Explicit
dress,wear,Dress,NO CHANGE,Explicit
dress,zebra,striped,NO CHANGE,Explicit
dress,polyester,drying,NO CHANGE,Explicit
dress,goddess,comes,NO CHANGE,Explicit
dress,Park,decide,NO CHANGE,Explicit
dress,FWSS,features,NO CHANGE,Explicit
dress,flannel,features,NO CHANGE,Explicit
dress,Maud,channelling,NO CHANGE,Explicit
dress,boatneck,falls,NO CHANGE,Explicit
dress,Torn,cut,NO CHANGE,Explicit
dress,winter,works,NO CHANGE,Explicit
dress,look,gives,NO CHANGE,Explicit
dress,look,gives,NO CHANGE,Explicit
dress,kimono,inspired,NO CHANGE,Explicit
dress,Yasmin,features,NO CHANGE,Explicit
dress,hems,features,NO CHANGE,Explicit
dress,Cilla,has,NO CHANGE,Explicit
dress,Cilla,has,NO CHANGE,Explicit
dress,Margit,inspired,NO CHANGE,Explicit
dress,Margit,inspired,NO CHANGE,Explicit
dress,buttoning,dressed,NO CHANGE,Explicit
dress,chiffon,ensures,NO CHANGE,Explicit
dress,swing,made,NO CHANGE,Explicit
dress,swing,made,NO CHANGE,Explicit
dress,swing,made,NO CHANGE,Explicit
dress,Female,decide,NO CHANGE,Explicit
dress,Female,decide,NO CHANGE,Explicit
dress,night,twisted,NO CHANGE,Explicit
dress,Rodebjer,ends,NO CHANGE,Explicit
dress,Rodebjer,ends,NO CHANGE,Explicit
dress,silhouette,creates,NO CHANGE,Explicit
dress,silhouette,creates,NO CHANGE,Explicit
dress,silhouette,creates,NO CHANGE,Explicit
dress,Ted,closes,NO CHANGE,Explicit
dress,texture,paired,NO CHANGE,Explicit
dress,%,printed,NO CHANGE,Explicit
dress,shape,falls,NO CHANGE,Explicit
dress,bandage,Look,NO CHANGE,Explicit
dress,Sena,features,NO CHANGE,Explicit
dress,crochet,features,NO CHANGE,Explicit
dress,cherry,features,NO CHANGE,Explicit
dress,espadrilles,dress,NO CHANGE,Explicit
dress,linen,introduces,NO CHANGE,Explicit
dress,linen,introduces,NO CHANGE,Explicit
dress,linen,introduces,NO CHANGE,Explicit
dress,pockets,chambray,NO CHANGE,Explicit
dress,shapes,beaded,NO CHANGE,Explicit
dress,multi,colored,NO CHANGE,Explicit
dress,pearls,closes,NO CHANGE,Explicit
dress,frill,Pair,NO CHANGE,Explicit
dress,neckline,gets,NO CHANGE,Explicit
dress,neckline,gets,NO CHANGE,Explicit
dress,Sandro,featuring,NO CHANGE,Explicit
dress,lacing,features,NO CHANGE,Explicit
dress,sequin,features,NO CHANGE,Explicit
dress,kind,provides,NO CHANGE,Explicit
dress,denim,ruffled,NO CHANGE,Explicit
dress,belt,has,NO CHANGE,Explicit
dress,simple,features,NO CHANGE,Explicit
dress,corset,go,NO CHANGE,Explicit
dress,flowy,printed,NO CHANGE,Explicit
dress,class,says,NO CHANGE,Explicit
dress,Carin,built,NO CHANGE,Explicit
dress,button,get,NO CHANGE,Explicit
dress,quality,give,NO CHANGE,Explicit
dress,quality,give,NO CHANGE,Explicit
dress,item,features,NO CHANGE,Explicit
dress,item,features,NO CHANGE,Explicit
dress,halter,draped,NO CHANGE,Explicit
dress,bodice,has,NO CHANGE,Explicit
dress,Faithfull,gathered,NO CHANGE,Explicit
dress,Features,Look,NO CHANGE,Explicit
dress,Elisa,wear,NO CHANGE,Explicit
dress,pintuck,features,NO CHANGE,Explicit
dress,Berle,made,NO CHANGE,Explicit
dress,brand,cut,NO CHANGE,Explicit
dress,signature,features,NO CHANGE,Explicit
dress,signature,features,NO CHANGE,Explicit
dress,embroidery,features,NO CHANGE,Explicit
dress,colors,features,NO CHANGE,Explicit
dress,day,begins,NO CHANGE,Explicit
dress,mesh,creates,NO CHANGE,Explicit
dress,gold,combines,NO CHANGE,Explicit
dress,staple,features,NO CHANGE,Explicit
dress,Irina,features,NO CHANGE,Explicit
dress,cardigan,inspired,NO CHANGE,Explicit
dress,blazer,has,NO CHANGE,Explicit
dress,Susann,has,NO CHANGE,Explicit
dress,form,fitted,NO CHANGE,Explicit
dress,jacket,has,NO CHANGE,Explicit
dress,blouse,features,NO CHANGE,Explicit
dress,IBEN,has,NO CHANGE,Explicit
dress,material,cut,NO CHANGE,Explicit
dress,GANNI,sits,NO CHANGE,Explicit
dress,Missoni,give,NO CHANGE,Explicit
dress,DAY,features,NO CHANGE,Explicit
dress,Joyce,made,NO CHANGE,Explicit
dress,tie,features,NO CHANGE,Explicit
dress,Coast,mermaid,NO CHANGE,Explicit
dress,multicolor,ribbed,NO CHANGE,Explicit
dress,seasons,gives,NO CHANGE,Explicit
dress,arms,comes,NO CHANGE,Explicit
dress,skirt,fastening,NO CHANGE,Explicit
dress,skirt,fastening,NO CHANGE,Explicit
dress,shift,cut,NO CHANGE,Explicit
dress,Dre,closes,NO CHANGE,Explicit
dress,sequins,features,NO CHANGE,Explicit
dress,chunky,dressed,NO CHANGE,Explicit
dress,split,features,NO CHANGE,Explicit
blouse,neckline,makes,NO CHANGE,Explicit
blouse,neckline,makes,NO CHANGE,Explicit
blouse,wrap,feels,NO CHANGE,Explicit
blouse,wrap,feels,NO CHANGE,Explicit
blouse,wrap,feels,NO CHANGE,Explicit
blouse,wrap,feels,NO CHANGE,Explicit
blouse,byTimo,combined,NO CHANGE,Explicit
blouse,stripes,features,NO CHANGE,Explicit
blouse,stripes,features,NO CHANGE,Explicit
blouse,stripes,features,NO CHANGE,Explicit
blouse,female,Airy,NO CHANGE,Explicit
blouse,female,Airy,NO CHANGE,Explicit
blouse,Jackie,made,NO CHANGE,Explicit
blouse,arms,has,NO CHANGE,Explicit
blouse,Herdis,inspired,NO CHANGE,Explicit
blouse,Herdis,inspired,NO CHANGE,Explicit
blouse,Herdis,inspired,NO CHANGE,Explicit
fun,wrap,features,ADD,Implicit
fun,sun,gather,ADD,Implicit
fun,jacquard,has,ADD,Implicit
fun,fabric,made,ADD,Implicit
fun,Ane,makes,ADD,Implicit
fun,satin,made,ADD,Implicit
fun,viscose,fitted,ADD,Implicit
fun,sleeves,has,ADD,Implicit
fun,Peony,features,ADD,Implicit
fun,ruffles,create,ADD,Implicit
fun,sleeve,ruffled,ADD,Implicit
fun,Nila,has,ADD,Implicit
fun,color,makes,ADD,Implicit
fun,silk,creates,ADD,Implicit
fun,Work,wrap,ADD,Implicit
fun,brocade,features,ADD,Implicit
fun,Pauline,lined,ADD,Implicit
fun,Micro,dropped,ADD,Implicit
fun,fit,gives,ADD,Implicit
fun,summer,has,ADD,Implicit
fun,Set,features,ADD,Implicit
fun,stripe,sleeve,ADD,Implicit
fun,cut,makes,ADD,Implicit
fun,detales,has,ADD,Implicit
fun,vegan,dyed,ADD,Implicit
fun,Enjoy,wear,ADD,Implicit
fun,pattern,features,ADD,Implicit
fun,parts,features,ADD,Implicit
fun,line,features,ADD,Implicit
fun,sweetheart,features,ADD,Implicit
fun,slip,allow,ADD,Implicit
fun,wool,fitted,ADD,Implicit
fun,occasions,Rent,ADD,Implicit
fun,leather,wear,ADD,Implicit
fun,Aurora,has,ADD,Implicit
fun,midi,has,ADD,Implicit
fun,silhoette,gives,ADD,Implicit
fun,body,features,ADD,Implicit
fun,touch,features,ADD,Implicit
fun,beauty,has,ADD,Implicit
fun,Hadiya,features,ADD,Implicit
fun,print,featuring,ADD,Implicit
fun,Holzweiler,comes,ADD,Implicit
fun,details,contour,ADD,Implicit
fun,iridescent,frame,ADD,Implicit
fun,knee,cut,ADD,Implicit
fun,shirt,dressed,ADD,Implicit
fun,star,allows,ADD,Implicit
fun,Button,flowing,ADD,Implicit
fun,features,tiered,ADD,Implicit
fun,timeless,has,ADD,Implicit
fun,waist,lined,ADD,Implicit
fun,fall,pleated,ADD,Implicit
fun,cotton,has,ADD,Implicit
fun,Aida,made,ADD,Implicit
fun,v,drapes,ADD,Implicit
fun,midnight,wins,ADD,Implicit
fun,zipper,features,ADD,Implicit
fun,eye,features,ADD,Implicit
fun,cocktail,adds,ADD,Implicit
fun,ways,knit,ADD,Implicit
fun,Kada,shaped,ADD,Implicit
fun,peplum,knit,ADD,Implicit
fun,smocking,falls,ADD,Implicit
fun,year,dress,ADD,Implicit
fun,Sanne,has,ADD,Implicit
fun,Urban,has,ADD,Implicit
fun,number,decide,ADD,Implicit
fun,silky,features,ADD,Implicit
fun,sparkles,built,ADD,Implicit
fun,cobalt,Dress,ADD,Implicit
fun,dots,covered,ADD,Implicit
fun,party,going,ADD,Implicit
fun,length,provides,ADD,Implicit
fun,flower,Embellished,ADD,Implicit
fun,ROTATE,closes,ADD,Implicit
fun,sweater,has,ADD,Implicit
fun,Kaftan,Say,ADD,Implicit
fun,A-,features,ADD,Implicit
fun,velvet,has,ADD,Implicit
fun,dream,cut,ADD,Implicit
fun,occasion,has,ADD,Implicit
fun,style,Look,ADD,Implicit
fun,Dress,says,ADD,Implicit
fun,neck,goes,ADD,Implicit
fun,Alice,has,ADD,Implicit
fun,Vegan,dyed,ADD,Implicit
fun,Jealyn,gives,ADD,Implicit
fun,V,has,ADD,Implicit
fun,event,closes,ADD,Implicit
fun,black,viscose,ADD,Implicit
fun,maxi,makes,ADD,Implicit
fun,Esilca,sleeved,ADD,Implicit
fun,crepe,has,ADD,Implicit
fun,wear,Dress,ADD,Implicit
fun,zebra,striped,ADD,Implicit
fun,polyester,drying,ADD,Implicit
fun,goddess,comes,ADD,Implicit
fun,Park,decide,ADD,Implicit
fun,FWSS,features,ADD,Implicit
fun,flannel,features,ADD,Implicit
fun,Maud,channelling,ADD,Implicit
fun,boatneck,falls,ADD,Implicit
fun,Torn,cut,ADD,Implicit
fun,winter,works,ADD,Implicit
fun,look,gives,ADD,Implicit
fun,kimono,inspired,ADD,Implicit
fun,Yasmin,features,ADD,Implicit
fun,hems,features,ADD,Implicit
fun,Cilla,has,ADD,Implicit
fun,Margit,inspired,ADD,Implicit
fun,buttoning,dressed,ADD,Implicit
fun,chiffon,ensures,ADD,Implicit
fun,swing,made,ADD,Implicit
fun,Female,decide,ADD,Implicit
fun,night,twisted,ADD,Implicit
fun,Rodebjer,ends,ADD,Implicit
fun,silhouette,creates,ADD,Implicit
fun,Ted,closes,ADD,Implicit
fun,texture,paired,ADD,Implicit
fun,%,printed,ADD,Implicit
fun,shape,falls,ADD,Implicit
fun,bandage,Look,ADD,Implicit
fun,Sena,features,ADD,Implicit
fun,crochet,features,ADD,Implicit
fun,cherry,features,ADD,Implicit
fun,espadrilles,dress,ADD,Implicit
fun,pockets,chambray,ADD,Implicit
fun,shapes,beaded,ADD,Implicit
fun,multi,colored,ADD,Implicit
fun,pearls,closes,ADD,Implicit
fun,frill,Pair,ADD,Implicit
fun,neckline,gets,ADD,Implicit
fun,Sandro,featuring,ADD,Implicit
fun,lacing,features,ADD,Implicit
fun,sequin,features,ADD,Implicit
fun,kind,provides,ADD,Implicit
fun,denim,ruffled,ADD,Implicit
fun,belt,has,ADD,Implicit
fun,simple,features,ADD,Implicit
fun,corset,go,ADD,Implicit
fun,flowy,printed,ADD,Implicit
fun,class,says,ADD,Implicit
fun,Carin,built,ADD,Implicit
fun,button,get,ADD,Implicit
fun,quality,give,ADD,Implicit
fun,item,features,ADD,Implicit
fun,halter,draped,ADD,Implicit
fun,bodice,has,ADD,Implicit
fun,Faithfull,gathered,ADD,Implicit
fun,Features,Look,ADD,Implicit
fun,Elisa,wear,ADD,Implicit
fun,pintuck,features,ADD,Implicit
fun,Berle,made,ADD,Implicit
fun,brand,cut,ADD,Implicit
fun,signature,features,ADD,Implicit
fun,embroidery,features,ADD,Implicit
fun,colors,features,ADD,Implicit
fun,day,begins,ADD,Implicit
fun,mesh,creates,ADD,Implicit
fun,gold,combines,ADD,Implicit
fun,staple,features,ADD,Implicit
fun,Irina,features,ADD,Implicit
fun,cardigan,inspired,ADD,Implicit
fun,blazer,has,ADD,Implicit
fun,Susann,has,ADD,Implicit
fun,form,fitted,ADD,Implicit
fun,jacket,has,ADD,Implicit
fun,IBEN,has,ADD,Implicit
fun,material,cut,ADD,Implicit
fun,GANNI,sits,ADD,Implicit
fun,Missoni,give,ADD,Implicit
fun,DAY,features,ADD,Implicit
fun,Joyce,made,ADD,Implicit
fun,tie,features,ADD,Implicit
fun,Coast,mermaid,ADD,Implicit
fun,multicolor,ribbed,ADD,Implicit
fun,seasons,gives,ADD,Implicit
fun,arms,comes,ADD,Implicit
fun,shift,cut,ADD,Implicit
fun,Dre,closes,ADD,Implicit
fun,sequins,features,ADD,Implicit
fun,chunky,dressed,ADD,Implicit
fun,split,features,ADD,Implicit
fun,chiffon,has,ADD,Implicit
fun,look,Rent,ADD,Implicit
fun,Floral,has,ADD,Implicit
fun,Bianca,features,ADD,Implicit
fun,Høst,has,ADD,Implicit
fun,occation,Use,ADD,Implicit
fun,legs,flared,ADD,Implicit
fun,kind,comes,ADD,Implicit
fun,material,made,ADD,Implicit
fun,alternative,makes,ADD,Implicit
